id,State_Name,Mean,Median,Stdev,sum_w
1021786,Alabama,40683,28886,35812,374.5550754
1021796,Alabama,61900,65528,43897,195.6872098
1021806,Alabama,53673,39630,49847,261.8569207
1021816,Alabama,63213,300000,38851,286.024105
1021826,Alabama,37893,28850,37859,205.9554381
1021836,Alabama,44858,32959,41497,431.7827107
1021846,Alabama,43726,28444,38686,267.6241033
1021856,Alabama,68310,59974,38238,375.9741459
102186,Alabama,34206,16878,39063,540.0098405
1021866,Alabama,65625,49674,60856,187.2547026
1021876,Alabama,31645,31497,20477,197.0904272
1021886,Alabama,58239,61815,49004,174.7838717
1021896,Alabama,42703,33772,31328,286.3256265
1021906,Alabama,65458,45588,47564,195.7925473
1021916,Alabama,23614,15982,20480,265.8210744
1021926,Alabama,30567,20489,27688,321.6892907
1021936,Alabama,26582,19843,18440,208.2968997
1021946,Alabama,47226,37458,34391,509.6531557
1021956,Alabama,41338,40569,19063,330.9922396
102196,Alabama,42170,26135,46568,569.2058781
1021966,Alabama,50821,54135,34788,224.3173571
1021976,Alabama,46422,40662,30381,396.418269
1021986,Alabama,57662,300000,30695,218.5254164
1021996,Alabama,55257,50235,34870,276.0537709
1022006,Alabama,51818,50579,30368,368.4510333
1022016,Alabama,81059,49903,70277,353.6571747
